,Treatment,imagingType,imageFileName,zone,CV,Iso,Contrast,Correlation,Energy,Homogeneity,Entropy,Std,Mean,Range
126,CS,F-actin,40X F-actin CS - 02.tif,zone 2,0.237776070486778,9.28,0.299716028976635,0.89025471703222,0.158185414717926,0.859396820902629,5.35400190806579,0.144665533899593,0.339072123246592,0.926938919935628
127,CS,F-actin,40X F-actin CS - 02.tif,zone 3,0.22374158707763,9.92,0.301227680848893,0.885080912733038,0.175407645623997,0.860403457130225,5.3705552621076,0.140244454887591,0.314891641154767,0.943334767279869
128,CS,F-actin,40X F-actin CS - 02.tif,zone 4,0.227937246267603,8.24,0.304083318028773,0.883122193025599,0.178050513081993,0.860345694316907,5.37632756374409,0.140138898771762,0.299456188410714,0.943044216233107
129,CS,F-actin,40X F-actin CS - 03.tif,zone 1,0.211129921302867,7.6,0.2895846852362,0.887997058157734,0.185159713069327,0.867680518314458,5.36628935857346,0.139793882891523,0.272443646265173,0.955176168129895
130,CS,F-actin,40X F-actin CS - 03.tif,zone 2,0.187831721469023,6.76,0.273743669013366,0.899405341543547,0.174762285657969,0.871147200115634,5.43552620465358,0.14480508547536,0.302684061487696,0.943262143206268
131,CS,F-actin,40X F-actin CS - 03.tif,zone 3,0.212828770545027,7.92,0.283426150392817,0.881383624484505,0.188201728884758,0.867873629391559,5.30329043277448,0.133076301791918,0.297553543759876,0.933073644935384
132,CS,F-actin,40X F-actin CS - 03.tif,zone 4,0.198727513196208,6.68,0.283742454851546,0.897788858841636,0.171132133544538,0.868343054280175,5.44103163296414,0.145966117296613,0.295886283235169,0.957666743768932
133,CS,F-actin,40X F-actin CS - 04.tif,zone 1,0.220739480958638,8,0.270923722069177,0.891921310453073,0.178287789367072,0.871135799068122,5.27904166280782,0.137728557814165,0.313367305062083,0.938503575069988
134,CS,F-actin,40X F-actin CS - 04.tif,zone 2,0.21363861175125,7.56,0.293249168452199,0.891087990973103,0.165121703352698,0.862985248954188,5.43545847451128,0.142329117608156,0.317055283637185,0.94123818072457
135,CS,F-actin,40X F-actin CS - 04.tif,zone 3,0.19239409580796,6.48,0.273724864809713,0.898989017171891,0.17691741741789,0.87157566999966,5.40014319824117,0.144040970271849,0.300441758552784,0.941294995673465
136,CS,F-actin,40X F-actin CS - 04.tif,zone 4,0.198145399867621,7,0.272984195490256,0.903411101783005,0.167404206019339,0.870487882188892,5.41015629914536,0.146164780314624,0.303098795059997,0.944524097334931
137,CS,F-actin,40X F-actin CS - 05.tif,zone 1,0.213369342707946,8.48,0.311788623609836,0.887754014452444,0.150829146601098,0.85442761452913,5.29784114063882,0.147206850582051,0.349299752079004,0.92861062089336
138,CS,F-actin,40X F-actin CS - 05.tif,zone 2,0.209524385383019,7.8,0.277229507193144,0.873545417484966,0.189574050510047,0.869460963167024,5.13215006100979,0.128920809645436,0.289001650532703,0.946407584619163
139,CS,F-actin,40X F-actin CS - 05.tif,zone 3,0.187144592985661,5.88,0.282013947556372,0.904335216776071,0.165025269860058,0.867982678638234,5.4325794911349,0.149532562291714,0.310478910114639,0.943853291096372
140,CS,F-actin,40X F-actin CS - 05.tif,zone 4,0.200088172136286,8,0.28078366493215,0.88722727366492,0.176471553866162,0.868642095194368,5.29675120445852,0.137188327093296,0.299916375368092,0.93907723976974
141,CS,IF,40X IF CS - 01.tif,zone 1,0.167107238324517,6.56,0.312333557800225,0.882679220612317,0.178442264590429,0.860130715913342,5.7212071839921,0.143381517578676,0.253173697220377,0.982716703833689
142,CS,IF,40X IF CS - 01.tif,zone 2,0.154511329127077,5.72,0.3064967758392,0.901761774534976,0.187002488316728,0.863848289290208,5.64469268276733,0.157020817566546,0.238611287318008,0.991293685594966
