"","antibodyName","doseLevel","treatmentTime","imagingType","imageFileName","zone","CV","Iso","ContrastN","CorrelationN","EnergyN","HomogeneityN","EntropyN","StdN","MeanN","RangeN"
"4425","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-07-Image Export-53.tif","zone 1",0.225237102594572,11.04,0.354812794612795,0.825493255373475,0.212683445001822,0.847226413339747,4.98192534423316,0.123347060886529,0.240234297819518,0.947390987965792
"4426","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-07-Image Export-53.tif","zone 2",0.141319332036453,7.88,0.354524977043159,0.846672164848067,0.254435331277709,0.859382514830848,4.93902874208371,0.136279906003941,0.227040907576146,0.953415636643668
"4427","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-07-Image Export-53.tif","zone 3",0.146625116978975,9.96,0.435510356086114,0.836799080762005,0.173626109849301,0.821784837091453,5.24910031539851,0.141266052362481,0.290574218007224,0.934183979460143
"4428","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-07-Image Export-53.tif","zone 4",0.14307801776292,8.28,0.343774859708193,0.872278418429753,0.238345991803261,0.857685656565657,5.01206031730657,0.147304419279915,0.247764987138071,0.953632257961393
"4429","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-08-Image Export-54.tif","zone 1",0.183226665069854,9.47826086956522,0.395565082090115,0.868748334905109,0.226611074636581,0.847514546567797,5.23288379217866,0.160666114362781,0.24645267107262,0.977555603489249
"4430","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-08-Image Export-54.tif","zone 2",0.151388823063289,8.08,0.307865809611264,0.879417021917326,0.252752012779904,0.869419853440611,5.06773715897779,0.14359464776853,0.207780254518044,0.989409234661606
"4431","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-08-Image Export-54.tif","zone 3",0.1498173231414,9.34782608695652,0.356581504549225,0.851397989155194,0.22176503448942,0.851226100671478,5.14783762758601,0.136814288499097,0.237857044192854,0.984780349020623
"4432","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-08-Image Export-54.tif","zone 4",0.137742748871633,9.45833333333333,0.371155186120464,0.862119774762647,0.225456671337905,0.849987559679689,5.06698651586146,0.149095209231075,0.22586048472762,0.984230107151647
"4433","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-09-Image Export-55.tif","zone 1",0.162125809830144,8.12,0.329819722477298,0.853663895607024,0.243994678485506,0.863219834054834,5.02696821966812,0.13404583707931,0.204537482941155,0.985427554631932
"4434","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-09-Image Export-55.tif","zone 2",0.166638343876838,6.5,0.258549669676564,0.844497877456559,0.375650498052018,0.891516852097818,4.65270924747745,0.114887248709642,0.158675977989251,0.987262918160096
"4435","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-09-Image Export-55.tif","zone 3",0.178318310375287,10.52,0.346842913988368,0.839012878103085,0.227092975106512,0.854296268310814,4.92792310528586,0.130998143768309,0.210173606172322,0.981698412698413
"4436","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-09-Image Export-55.tif","zone 4",0.139120171943773,10.3333333333333,0.398449371662756,0.852083130312624,0.218814476233842,0.84126614861437,5.18059582381198,0.153390741767021,0.266746039593672,0.972482370714215
"4437","HLA","10ug","24h","IF","63X-IF-HLA-10-24h-10-Image Export-56.tif","zone 1",0.188957044615217,8.48,0.357598041016223,0.871024516903854,0.254459742128676,0.857702534435262,5.09260932600912,0.145050985020933,0.234407554426852,0.978723628558803
